username,age_days,followers,following,posts_per_day,profile_completeness,avg_likes,avg_comments,archetype
user_suspicious_175,99,28,4741,61.44,34.5,0.1,0.0,SUSPICIOUS
user_normal_269,1866,1701,2458,0.89,98.1,109.4,8.8,NORMAL
user_normal_40,1576,2665,2196,3.86,98.6,123.8,13.0,NORMAL
user_new_98,59,109,78,2.59,90.3,12.6,0.8,NEW_LEGITIMATE
user_suspicious_117,98,9,2656,73.13,45.8,0.1,0.0,SUSPICIOUS
user_suspicious_82,112,15,1472,79.37,21.0,0.2,0.0,SUSPICIOUS
user_suspicious_51,114,8,4505,19.02,23.7,0.0,0.0,SUSPICIOUS
low_engagement_30,691,3430,942,6.71,84.3,12.8,0.1,LOW_ENGAGEMENT
user_normal_288,923,3904,1509,4.37,81.8,376.7,23.9,NORMAL
bot_like_33,4,10,7743,58.65,16.4,0.0,0.0,BOT_LIKE
bot_like_30,7,34,1709,89.05,39.6,0.0,0.0,BOT_LIKE
user_new_65,22,107,256,1.29,75.1,10.1,1.1,NEW_LEGITIMATE
incomplete_33,81,947,255,7.39,16.8,43.8,1.6,INCOMPLETE_PROFILE
bot_like_80,19,1,4396,46.97,13.9,0.0,0.0,BOT_LIKE
incomplete_18,285,873,712,4.25,30.1,39.3,1.5,INCOMPLETE_PROFILE
user_suspicious_99,137,99,2682,22.62,26.8,0.8,0.0,SUSPICIOUS
influencer_52,665,485859,1698,1.74,93.0,43522.2,6684.1,INFLUENCER
influencer_35,2995,439145,325,5.82,93.3,32577.5,4271.5,INFLUENCER
user_suspicious_84,30,29,3471,23.48,42.6,0.3,0.0,SUSPICIOUS
influencer_11,1827,186284,1545,6.13,98.1,22778.5,2456.0,INFLUENCER
bot_like_10,6,25,1155,61.53,24.2,0.0,0.0,BOT_LIKE
user_normal_123,1172,2812,2242,4.55,81.5,178.5,25.1,NORMAL
user_new_130,73,129,112,3.37,89.5,9.5,0.8,NEW_LEGITIMATE
bot_like_59,8,5,6885,110.03,13.1,0.0,0.0,BOT_LIKE
user_new_147,35,88,24,2.71,90.0,8.8,0.8,NEW_LEGITIMATE
user_suspicious_37,59,94,1634,74.05,38.7,0.9,0.0,SUSPICIOUS
user_normal_59,515,4692,945,3.36,94.0,348.0,37.4,NORMAL
user_normal_17,1757,1584,913,3.36,79.4,96.1,13.5,NORMAL
user_suspicious_63,123,76,1231,78.93,30.4,1.5,0.0,SUSPICIOUS
user_suspicious_18,160,56,3655,78.25,50.4,1.1,0.0,SUSPICIOUS
bot_like_5,27,21,7535,44.96,38.8,0.1,0.0,BOT_LIKE
user_normal_255,710,3783,3323,4.14,93.0,121.0,11.2,NORMAL
influencer_67,1218,292260,335,3.43,99.0,41578.2,5832.8,INFLUENCER
influencer_33,2243,372908,645,4.15,93.0,46453.8,8320.5,INFLUENCER
bot_like_2,13,19,1413,103.81,15.3,0.0,0.0,BOT_LIKE
influencer_61,786,116311,1741,5.67,91.5,16901.4,2810.9,INFLUENCER
user_normal_390,1583,4100,1993,2.19,75.0,223.2,14.3,NORMAL
user_normal_5,1137,2834,3055,1.4,85.4,191.0,10.4,NORMAL
user_new_68,8,50,166,2.58,61.1,4.4,0.4,NEW_LEGITIMATE
user_normal_13,1266,491,724,4.06,88.2,46.2,5.3,NORMAL
low_engagement_20,513,2545,623,4.98,73.5,4.4,0.0,LOW_ENGAGEMENT
user_suspicious_114,164,24,694,31.49,50.3,0.1,0.0,SUSPICIOUS
user_new_31,17,110,47,3.53,76.7,4.4,0.5,NEW_LEGITIMATE
influencer_64,2609,370466,741,1.85,95.8,25331.9,3024.8,INFLUENCER
incomplete_32,463,650,682,5.13,7.3,20.3,0.7,INCOMPLETE_PROFILE
user_suspicious_8,150,87,2178,28.27,21.7,1.0,0.0,SUSPICIOUS
user_normal_368,1627,2479,2535,2.46,93.2,169.0,23.5,NORMAL
user_new_124,19,127,171,2.66,79.5,8.6,0.8,NEW_LEGITIMATE
user_normal_347,1463,1023,1175,4.91,89.7,31.1,3.7,NORMAL
user_suspicious_191,7,34,2852,19.06,39.4,0.1,0.0,SUSPICIOUS
user_normal_358,1067,2697,191,4.39,86.4,136.0,20.1,NORMAL
user_normal_4,1036,574,108,2.3,71.4,56.2,4.1,NORMAL
influencer_53,984,21549,1684,7.29,92.9,2601.6,286.9,INFLUENCER
user_normal_301,292,4088,4116,3.52,79.5,369.3,28.0,NORMAL
low_engagement_14,235,3661,552,3.27,65.0,3.3,0.1,LOW_ENGAGEMENT
user_new_78,65,60,100,3.77,89.0,5.6,0.7,NEW_LEGITIMATE
user_normal_1,1306,960,1344,3.79,88.0,31.2,2.0,NORMAL
user_suspicious_120,173,73,3278,30.62,23.8,0.5,0.0,SUSPICIOUS
low_engagement_6,190,4104,157,2.13,69.0,9.7,0.1,LOW_ENGAGEMENT
user_new_10,63,47,32,3.9,67.7,4.5,0.6,NEW_LEGITIMATE
user_suspicious_115,149,82,4314,16.06,49.2,0.6,0.0,SUSPICIOUS
bot_like_64,15,30,6785,120.37,31.8,0.1,0.0,BOT_LIKE
user_normal_207,1523,4533,1439,4.89,91.7,328.9,41.3,NORMAL
user_suspicious_56,89,70,4470,37.24,37.2,1.2,0.0,SUSPICIOUS
user_new_106,34,49,222,2.11,85.6,4.1,0.5,NEW_LEGITIMATE
user_normal_76,218,3622,4318,0.55,84.1,88.8,5.5,NORMAL
user_new_30,11,26,113,1.44,76.6,2.3,0.3,NEW_LEGITIMATE
bot_like_67,13,26,2564,118.23,28.8,0.1,0.0,BOT_LIKE
low_engagement_2,645,855,639,10.98,81.8,0.5,0.0,LOW_ENGAGEMENT
user_normal_256,760,1684,532,4.41,84.2,105.8,7.2,NORMAL
user_new_97,30,62,153,1.38,83.7,5.8,0.6,NEW_LEGITIMATE
user_suspicious_64,162,35,2087,16.77,40.9,0.2,0.0,SUSPICIOUS
user_normal_169,1301,230,342,2.89,83.2,12.0,1.3,NORMAL
user_new_136,30,139,81,3.45,73.1,12.1,0.7,NEW_LEGITIMATE
user_suspicious_36,17,28,3629,30.41,57.9,0.5,0.0,SUSPICIOUS
user_suspicious_156,110,76,3499,44.35,57.5,1.5,0.1,SUSPICIOUS
user_normal_317,1517,3074,917,2.83,83.2,97.7,8.1,NORMAL
user_new_34,7,45,293,3.08,94.1,1.6,0.2,NEW_LEGITIMATE
user_normal_244,1147,2989,1011,2.59,81.4,266.2,27.1,NORMAL
user_normal_245,633,2047,2726,4.16,73.3,65.3,6.7,NORMAL
user_normal_143,979,4973,1531,4.54,85.8,418.0,61.8,NORMAL
incomplete_11,131,478,751,9.21,7.1,5.0,0.4,INCOMPLETE_PROFILE
user_suspicious_14,176,31,3827,67.17,59.9,0.0,0.0,SUSPICIOUS
user_suspicious_179,48,43,1501,65.22,48.6,0.5,0.0,SUSPICIOUS
user_normal_98,274,3545,949,1.32,80.4,325.2,31.7,NORMAL
user_new_64,20,125,285,3.44,86.3,6.3,0.9,NEW_LEGITIMATE
influencer_37,938,108970,383,2.43,92.0,14176.3,1440.6,INFLUENCER
user_normal_70,1354,1267,618,1.01,97.9,124.1,18.6,NORMAL
user_normal_117,192,3813,1669,1.65,90.4,308.2,33.8,NORMAL
user_normal_316,239,3062,3938,3.36,74.5,231.6,28.9,NORMAL
user_normal_247,606,1104,70,1.38,70.2,79.3,11.1,NORMAL
user_normal_294,1854,4631,4544,4.74,93.5,224.1,20.4,NORMAL
user_normal_60,1748,4100,5102,2.96,98.2,208.6,30.5,NORMAL
bot_like_43,20,34,7065,83.54,26.6,0.1,0.0,BOT_LIKE
bot_like_24,18,38,7074,77.34,36.0,0.0,0.0,BOT_LIKE
user_new_137,79,57,155,1.99,79.2,4.4,0.4,NEW_LEGITIMATE
user_suspicious_75,96,70,1257,35.65,58.7,0.4,0.0,SUSPICIOUS
user_new_42,43,126,154,3.58,83.6,10.0,1.3,NEW_LEGITIMATE
user_normal_252,1287,1575,1848,4.17,81.2,97.8,6.0,NORMAL
user_normal_189,879,656,875,2.59,96.4,13.4,1.8,NORMAL
user_suspicious_129,113,46,1743,73.37,52.4,0.6,0.0,SUSPICIOUS
user_new_138,58,108,230,2.67,86.0,4.9,0.3,NEW_LEGITIMATE
user_new_88,12,135,72,1.57,72.4,11.6,1.0,NEW_LEGITIMATE
incomplete_28,173,766,580,5.57,17.7,14.7,0.7,INCOMPLETE_PROFILE
user_suspicious_177,147,27,3388,52.19,27.2,0.2,0.0,SUSPICIOUS
influencer_79,1647,209271,990,1.72,96.3,29428.4,4979.6,INFLUENCER
user_normal_64,908,3448,2858,2.97,82.7,225.8,24.3,NORMAL
user_normal_174,519,4584,2674,1.57,73.3,221.7,17.5,NORMAL
incomplete_40,58,244,535,8.11,24.7,3.2,0.2,INCOMPLETE_PROFILE
user_new_61,34,138,179,2.29,76.9,12.0,0.7,NEW_LEGITIMATE
user_normal_111,422,2690,1113,3.64,99.9,246.8,26.6,NORMAL
user_suspicious_91,8,73,589,21.2,38.0,0.5,0.0,SUSPICIOUS
user_suspicious_38,16,6,3305,42.95,43.9,0.1,0.0,SUSPICIOUS
user_new_102,27,63,197,0.82,86.2,7.1,0.7,NEW_LEGITIMATE
low_engagement_10,557,1938,168,6.55,76.4,1.5,0.0,LOW_ENGAGEMENT
user_normal_215,1903,4209,5116,3.76,87.8,303.1,29.7,NORMAL
bot_like_9,7,27,6652,143.44,11.7,0.1,0.0,BOT_LIKE
user_normal_28,1974,759,813,3.55,70.5,46.3,3.4,NORMAL
incomplete_13,418,423,610,9.8,38.6,9.1,0.5,INCOMPLETE_PROFILE
user_normal_33,807,4782,1698,1.23,97.0,327.6,16.7,NORMAL
low_engagement_18,635,1095,807,11.78,77.1,0.7,0.0,LOW_ENGAGEMENT
user_suspicious_141,31,8,4122,76.07,50.2,0.1,0.0,SUSPICIOUS
user_normal_400,520,3089,432,1.72,99.0,199.6,16.9,NORMAL
influencer_77,1318,379942,1374,2.97,89.8,54128.1,4695.4,INFLUENCER
user_suspicious_65,129,69,3762,59.77,55.9,1.0,0.0,SUSPICIOUS
user_normal_132,1188,703,848,3.23,82.7,55.5,8.0,NORMAL
user_normal_107,288,1269,160,3.13,92.1,82.0,8.9,NORMAL
user_normal_251,1554,3279,3704,1.83,93.8,114.2,16.2,NORMAL
bot_like_47,10,15,5777,81.84,40.0,0.0,0.0,BOT_LIKE
user_new_24,31,43,267,2.7,61.9,4.2,0.3,NEW_LEGITIMATE
user_normal_365,1873,2415,1108,1.7,93.7,159.1,18.4,NORMAL
user_normal_300,667,3797,2887,1.73,97.8,281.3,28.0,NORMAL
user_normal_72,1277,1053,541,4.4,95.2,57.0,4.1,NORMAL
user_suspicious_78,171,49,3210,69.14,41.6,0.8,0.0,SUSPICIOUS
user_normal_398,1187,1401,117,4.91,84.3,87.7,5.9,NORMAL
user_suspicious_47,17,10,3718,27.5,31.8,0.1,0.0,SUSPICIOUS
user_normal_37,1225,1793,2135,4.91,84.6,165.8,15.5,NORMAL
influencer_55,2716,15499,229,2.07,95.9,1705.3,286.1,INFLUENCER
influencer_28,1398,266433,224,4.13,97.4,30765.7,3979.4,INFLUENCER
user_new_84,6,130,187,0.68,77.7,12.3,1.7,NEW_LEGITIMATE
bot_like_52,26,39,5867,85.68,33.7,0.1,0.0,BOT_LIKE
user_normal_248,972,814,100,0.77,98.0,39.2,2.4,NORMAL
user_suspicious_109,76,94,4796,55.48,52.3,1.6,0.0,SUSPICIOUS
user_normal_350,1598,3090,1949,1.91,77.6,264.3,36.5,NORMAL
user_normal_383,284,301,356,3.17,70.3,21.3,3.0,NORMAL
user_suspicious_100,85,65,2962,33.81,38.7,0.8,0.0,SUSPICIOUS
influencer_71,1189,141827,451,6.92,86.7,10712.9,1921.4,INFLUENCER
user_new_116,25,30,80,1.74,89.0,3.0,0.2,NEW_LEGITIMATE
user_suspicious_142,158,26,2655,74.53,34.4,0.2,0.0,SUSPICIOUS
bot_like_7,6,43,6694,64.83,26.9,0.0,0.0,BOT_LIKE
user_new_117,32,64,55,2.71,73.1,3.5,0.3,NEW_LEGITIMATE
influencer_78,2292,171297,156,4.83,87.5,9659.1,1140.6,INFLUENCER
user_normal_168,581,1566,664,0.67,87.9,60.1,3.7,NORMAL
user_suspicious_61,55,41,1760,53.03,29.1,0.7,0.0,SUSPICIOUS
bot_like_31,15,14,5421,131.26,23.8,0.0,0.0,BOT_LIKE
user_suspicious_144,86,23,1624,42.47,59.8,0.0,0.0,SUSPICIOUS
influencer_82,1557,277956,465,3.17,88.0,39159.2,6705.9,INFLUENCER
user_normal_73,1596,3093,2731,1.16,85.4,119.6,12.9,NORMAL
incomplete_9,419,681,711,1.25,15.0,36.7,1.5,INCOMPLETE_PROFILE
incomplete_16,340,520,422,1.17,5.7,29.1,2.4,INCOMPLETE_PROFILE
user_normal_110,695,3521,3567,1.78,75.2,323.0,18.7,NORMAL
user_new_58,44,146,93,3.25,73.2,11.6,1.5,NEW_LEGITIMATE
user_suspicious_112,78,22,2251,37.16,56.7,0.2,0.0,SUSPICIOUS
influencer_6,2722,41105,1332,4.16,98.0,4234.1,576.5,INFLUENCER
user_new_6,26,57,127,2.19,90.2,4.7,0.4,NEW_LEGITIMATE
influencer_57,1580,316531,377,1.76,97.6,35265.8,4200.1,INFLUENCER
low_engagement_5,695,530,622,3.43,50.5,1.5,0.0,LOW_ENGAGEMENT
user_new_142,79,89,100,2.55,64.7,6.2,0.6,NEW_LEGITIMATE
user_normal_370,1658,2495,2637,1.55,93.6,243.7,18.6,NORMAL
user_suspicious_106,30,88,4367,64.96,29.1,1.2,0.0,SUSPICIOUS
influencer_19,2944,48871,1534,1.0,89.6,3622.1,391.3,INFLUENCER
user_normal_122,1498,4811,3647,4.55,88.7,304.0,28.5,NORMAL
bot_like_22,7,22,6265,131.38,12.4,0.1,0.0,BOT_LIKE
incomplete_38,172,877,380,3.11,0.8,62.8,6.1,INCOMPLETE_PROFILE
user_suspicious_180,125,77,978,15.9,46.0,1.1,0.0,SUSPICIOUS
user_suspicious_121,75,43,4578,78.49,36.2,0.1,0.0,SUSPICIOUS
user_suspicious_41,57,56,3196,69.55,26.4,0.1,0.0,SUSPICIOUS
user_suspicious_13,128,88,1441,57.84,28.4,1.5,0.1,SUSPICIOUS
user_normal_32,188,3270,1732,3.77,96.9,297.5,38.1,NORMAL
user_normal_160,1137,4560,6172,2.0,93.1,130.1,7.5,NORMAL
user_normal_265,625,732,104,3.9,80.4,53.6,6.9,NORMAL
user_new_135,64,49,78,2.97,73.1,3.1,0.2,NEW_LEGITIMATE
user_normal_175,503,245,342,0.69,70.5,24.3,2.3,NORMAL
user_normal_306,882,1753,2116,1.18,72.8,116.0,16.0,NORMAL
user_normal_142,293,3393,996,1.2,75.5,301.8,43.6,NORMAL
user_normal_187,219,4030,2046,1.7,96.4,337.7,39.1,NORMAL
user_suspicious_133,11,96,2976,22.83,43.4,1.9,0.0,SUSPICIOUS
user_normal_131,862,3631,4501,4.63,93.7,79.3,9.1,NORMAL
low_engagement_12,261,1148,597,2.16,71.6,5.5,0.2,LOW_ENGAGEMENT
influencer_38,2526,82902,112,3.4,95.3,4355.2,709.1,INFLUENCER
user_normal_393,1109,3859,3749,3.11,86.8,109.7,7.3,NORMAL
bot_like_46,5,39,3833,106.68,12.4,0.1,0.0,BOT_LIKE
user_suspicious_174,75,42,1401,16.56,43.4,0.8,0.0,SUSPICIOUS
user_suspicious_4,61,47,2758,71.45,35.2,0.4,0.0,SUSPICIOUS
user_new_94,41,186,238,2.32,62.6,15.7,1.6,NEW_LEGITIMATE
user_new_48,75,74,68,3.82,71.8,7.0,0.7,NEW_LEGITIMATE
bot_like_40,13,10,7496,77.61,22.9,0.0,0.0,BOT_LIKE
user_new_54,48,193,206,3.93,79.9,10.3,1.0,NEW_LEGITIMATE
bot_like_29,12,17,6315,78.61,10.1,0.1,0.0,BOT_LIKE
user_suspicious_32,150,42,2794,52.13,25.7,0.3,0.0,SUSPICIOUS
user_normal_179,932,2653,2356,4.22,94.0,186.7,13.4,NORMAL
influencer_47,2862,466672,909,4.87,89.5,43440.5,5102.7,INFLUENCER
user_normal_263,237,441,179,4.97,89.9,28.5,3.5,NORMAL
user_suspicious_74,68,44,686,16.9,56.3,0.2,0.0,SUSPICIOUS
user_new_74,58,59,49,1.64,84.9,6.1,0.4,NEW_LEGITIMATE
user_suspicious_167,54,26,4579,64.98,59.8,0.0,0.0,SUSPICIOUS
user_new_36,54,147,72,1.44,89.2,4.6,0.4,NEW_LEGITIMATE
user_suspicious_79,4,97,3466,47.53,37.4,0.6,0.0,SUSPICIOUS
user_new_26,6,78,176,3.76,88.9,3.3,0.3,NEW_LEGITIMATE
user_normal_325,367,1719,1737,2.62,70.4,73.3,4.0,NORMAL
user_normal_241,1685,1100,1352,2.46,94.5,32.6,3.4,NORMAL
user_suspicious_52,119,18,3296,44.04,40.1,0.1,0.0,SUSPICIOUS
user_normal_387,1999,2424,1511,4.33,82.1,63.5,6.6,NORMAL
user_normal_55,333,1779,1046,1.04,80.3,48.6,2.9,NORMAL
incomplete_23,310,324,748,1.17,27.6,24.7,1.8,INCOMPLETE_PROFILE
influencer_91,2416,287342,947,6.02,99.6,25205.7,4441.8,INFLUENCER
user_normal_312,311,1504,1205,3.75,96.6,101.4,9.0,NORMAL
user_suspicious_197,123,7,4329,34.96,54.4,0.1,0.0,SUSPICIOUS
influencer_44,521,346606,231,7.66,96.1,38037.6,7063.9,INFLUENCER
user_normal_307,1432,461,235,0.54,77.4,36.0,5.4,NORMAL
user_normal_14,1231,300,377,2.52,72.9,14.9,1.7,NORMAL
user_suspicious_43,155,66,1844,54.7,28.0,0.1,0.0,SUSPICIOUS
user_normal_97,384,3918,4188,1.58,72.3,118.8,7.5,NORMAL
user_normal_126,1176,1050,338,0.65,87.1,85.0,11.7,NORMAL
user_normal_30,1982,4161,3419,1.66,89.8,355.3,37.5,NORMAL
user_new_109,6,116,201,3.51,61.2,11.7,1.1,NEW_LEGITIMATE
user_normal_373,1652,4636,2190,2.63,88.7,266.9,25.3,NORMAL
influencer_14,2270,250489,571,1.27,90.9,32623.7,3945.8,INFLUENCER
user_normal_322,889,4020,1950,4.02,71.7,354.6,25.7,NORMAL
user_suspicious_96,22,56,4519,35.27,24.9,0.2,0.0,SUSPICIOUS
user_suspicious_22,22,6,4626,34.66,42.5,0.1,0.0,SUSPICIOUS
user_normal_68,624,4271,4410,1.94,98.5,410.2,44.0,NORMAL
influencer_7,1121,155698,1608,6.74,94.7,14308.2,1931.1,INFLUENCER
user_normal_377,362,3212,4542,3.54,71.3,180.0,25.7,NORMAL
user_new_20,53,48,252,1.27,61.2,2.4,0.2,NEW_LEGITIMATE
user_normal_148,1488,4277,563,4.6,88.7,200.5,26.6,NORMAL
user_new_126,1,171,112,2.36,64.0,14.5,0.9,NEW_LEGITIMATE
influencer_16,2186,406025,965,4.23,99.8,39921.7,7921.6,INFLUENCER
influencer_27,2235,442941,1104,3.75,93.2,29228.8,4762.8,INFLUENCER
influencer_9,2737,361300,1783,1.01,90.6,38686.6,5317.3,INFLUENCER
user_normal_346,1727,4058,5298,2.38,99.5,298.0,33.8,NORMAL
user_normal_384,1580,870,1157,3.37,92.2,54.3,7.2,NORMAL
user_suspicious_44,95,21,2004,30.4,47.1,0.2,0.0,SUSPICIOUS
user_normal_84,1404,2608,2829,1.72,74.0,68.1,9.8,NORMAL
user_new_141,57,49,256,1.25,74.9,5.5,0.6,NEW_LEGITIMATE
user_suspicious_157,112,82,919,38.28,59.6,1.1,0.1,SUSPICIOUS
influencer_49,2163,478013,401,4.81,85.6,59504.3,7944.7,INFLUENCER
user_normal_82,1151,767,422,1.75,75.6,43.8,3.7,NORMAL
user_new_35,54,191,84,3.62,70.1,12.1,0.7,NEW_LEGITIMATE
user_normal_50,1823,104,152,0.88,71.6,6.5,0.7,NORMAL
user_normal_338,258,1849,2725,4.42,77.2,103.7,15.4,NORMAL
user_new_113,79,138,22,1.93,82.9,7.4,0.5,NEW_LEGITIMATE
bot_like_4,10,32,5137,69.51,11.6,0.1,0.0,BOT_LIKE
user_suspicious_49,105,64,2017,66.64,31.1,0.2,0.0,SUSPICIOUS
user_suspicious_77,30,78,3801,49.53,47.1,0.7,0.0,SUSPICIOUS
user_normal_285,840,1000,114,1.96,95.0,70.3,4.9,NORMAL
user_new_91,87,23,234,1.96,86.3,0.9,0.1,NEW_LEGITIMATE
influencer_93,2362,346643,1984,5.26,91.7,43065.9,4625.3,INFLUENCER
user_normal_198,695,138,64,4.08,90.8,5.2,0.3,NORMAL
user_normal_259,1956,3451,4845,4.18,88.1,162.1,22.8,NORMAL
user_normal_271,521,343,61,4.69,73.5,29.3,2.6,NORMAL
user_suspicious_30,95,58,3703,78.07,57.3,0.9,0.0,SUSPICIOUS
user_normal_188,532,1804,412,1.57,97.9,51.4,6.2,NORMAL
user_normal_266,1859,336,328,2.3,74.6,33.4,4.8,NORMAL
user_suspicious_81,41,87,2963,58.62,52.2,1.7,0.0,SUSPICIOUS
influencer_26,2092,106426,1396,6.74,98.3,7441.5,849.1,INFLUENCER
user_new_67,71,163,59,1.9,86.7,17.0,2.4,NEW_LEGITIMATE
user_normal_201,1460,4765,4013,3.76,92.4,171.7,23.5,NORMAL
user_normal_351,1165,4179,3398,1.01,72.6,324.0,29.8,NORMAL
user_normal_184,1598,1054,1299,2.34,81.2,43.0,5.3,NORMAL
user_normal_146,275,1411,501,4.75,74.2,74.1,6.1,NORMAL
user_normal_356,712,1436,998,3.44,98.1,128.8,16.3,NORMAL
user_normal_355,1034,739,240,2.03,96.0,27.5,2.4,NORMAL
user_new_1,63,33,144,2.05,81.9,2.4,0.2,NEW_LEGITIMATE
user_new_4,11,63,192,2.1,61.3,6.1,0.6,NEW_LEGITIMATE
user_suspicious_110,66,69,3979,47.02,45.3,1.1,0.0,SUSPICIOUS
user_new_8,81,188,238,1.93,89.0,18.6,2.0,NEW_LEGITIMATE
low_engagement_9,421,4177,360,7.85,59.3,1.1,0.0,LOW_ENGAGEMENT
user_normal_170,676,3687,5518,3.48,92.1,227.2,21.1,NORMAL
user_normal_268,1364,1112,833,2.78,74.8,27.9,1.7,NORMAL
user_new_132,30,66,251,0.55,69.8,3.2,0.2,NEW_LEGITIMATE
user_new_127,29,48,147,3.93,77.9,1.9,0.2,NEW_LEGITIMATE
user_normal_36,1595,1318,450,1.89,86.3,80.0,9.1,NORMAL
influencer_10,1814,140744,1957,1.0,98.7,18914.3,3197.9,INFLUENCER
user_new_14,37,10,56,0.52,92.8,1.0,0.1,NEW_LEGITIMATE
user_normal_106,1476,225,74,4.51,87.8,16.7,2.2,NORMAL
user_normal_227,480,3474,3516,4.48,83.3,161.4,15.3,NORMAL
user_normal_246,1154,3471,2880,2.27,86.5,276.8,33.6,NORMAL
user_suspicious_190,15,93,2015,73.3,53.8,0.4,0.0,SUSPICIOUS
user_normal_176,996,1063,1213,4.8,93.9,43.3,4.7,NORMAL
bot_like_51,15,32,7297,90.84,27.2,0.1,0.0,BOT_LIKE
user_normal_51,1002,4464,4515,2.82,79.7,373.3,28.8,NORMAL
bot_like_73,12,45,3892,55.41,14.3,0.2,0.0,BOT_LIKE
user_normal_125,1218,2135,527,4.52,93.7,68.6,5.6,NORMAL
low_engagement_27,142,3407,966,5.83,79.3,14.8,0.3,LOW_ENGAGEMENT
user_normal_88,1002,4713,4621,4.16,100.0,470.0,49.6,NORMAL
user_suspicious_132,89,58,2663,58.92,35.8,0.9,0.0,SUSPICIOUS
bot_like_61,6,26,6817,98.73,14.1,0.1,0.0,BOT_LIKE
user_normal_134,746,2808,3552,0.75,80.1,236.5,11.9,NORMAL
user_new_49,31,183,261,2.92,92.6,13.7,1.0,NEW_LEGITIMATE
bot_like_35,4,37,2191,115.99,20.8,0.1,0.0,BOT_LIKE
user_suspicious_28,48,22,3459,36.34,38.2,0.3,0.0,SUSPICIOUS
user_new_25,26,27,115,2.58,91.4,2.2,0.2,NEW_LEGITIMATE
influencer_60,1397,308254,1510,2.38,88.2,16691.9,1980.5,INFLUENCER
user_new_79,70,10,186,3.48,72.1,0.3,0.0,NEW_LEGITIMATE
user_normal_43,865,3963,4771,3.27,99.7,123.7,12.6,NORMAL
user_normal_216,1446,2269,3268,4.89,80.1,78.4,10.1,NORMAL
user_normal_330,378,1549,945,3.31,84.8,152.4,9.8,NORMAL
user_normal_361,1276,2910,1581,3.36,83.5,109.1,6.8,NORMAL
user_suspicious_31,166,96,552,33.11,28.7,0.4,0.0,SUSPICIOUS
influencer_31,912,86396,666,3.75,99.2,5539.7,950.7,INFLUENCER
user_normal_185,1805,1013,503,4.83,73.3,92.7,13.8,NORMAL
user_suspicious_16,119,16,4356,70.42,57.5,0.0,0.0,SUSPICIOUS
user_normal_57,1492,1857,406,2.29,88.5,131.5,7.2,NORMAL
user_new_134,79,29,240,2.46,71.2,1.4,0.1,NEW_LEGITIMATE
user_normal_296,1426,3819,3889,1.53,99.3,280.3,14.3,NORMAL
user_normal_172,1477,3910,863,2.08,93.0,203.9,20.0,NORMAL
incomplete_4,78,150,543,7.23,27.0,11.8,1.2,INCOMPLETE_PROFILE
user_new_87,78,193,133,3.41,91.7,6.0,0.7,NEW_LEGITIMATE
influencer_63,1247,423440,879,1.4,87.6,51127.3,8457.1,INFLUENCER
user_normal_48,1901,674,239,1.79,87.7,15.1,0.8,NORMAL
user_new_95,35,11,143,2.42,84.1,0.5,0.1,NEW_LEGITIMATE
user_normal_319,1199,1936,210,2.4,89.1,160.4,9.9,NORMAL
user_new_13,8,35,132,0.81,60.1,1.2,0.1,NEW_LEGITIMATE
user_suspicious_160,68,50,2531,77.19,44.0,0.7,0.0,SUSPICIOUS
user_new_125,19,83,194,3.14,67.1,4.9,0.5,NEW_LEGITIMATE
